id,title,agents,complexity,severity,description,regulations
CS-01,Insider Trading - Pre-Announcement Accumulation,TM + CS,High,CRITICAL,PM accumulates Company X shares over 3 weeks; private dinner with Company X CFO; acquisition announced 2 days after last purchase; price rises 35%.,SEC Rule 10b-5; FINRA Rule 2010; Insider Trading Sanctions Act
CS-02,Market Manipulation - Spoofing,TM,Medium,HIGH,"Large futures limit orders are repeatedly cancelled within 200–500 ms, followed by execution on the opposite side.",Dodd-Frank Section 747; CEA Section 4c(a)(5); CME Rule 575
CS-03,Unsuitable Investment Recommendation,CS + TM,High,HIGH,High-risk leveraged ETFs recommended to retirement clients aged 68–82 despite investment-policy restrictions.,FINRA Rule 2111; SEC Regulation Best Interest
CS-04,AML - Structuring Deposits,TM,Medium,CRITICAL,"23 cash deposits between $8,500 and $9,900 across 7 branches total $214,000.",Bank Secrecy Act; 31 CFR 1020.320; FinCEN SAR requirements
CS-05,Chinese Wall Breach - Information Leakage,CS,High,CRITICAL,Investment banker tells equity research not to cover TechCorp; research publication is subsequently delayed.,SEC Section 15(g); FINRA Rule 5280; MiFID II Article 33
CS-06,Wash Trading - Cross-Account Coordination,TM,High,HIGH,Two accounts execute 34 matching trades in thinly traded bonds with alternating buyer/seller roles.,CEA Section 4c(a); SEC Rule 10b-5; FINRA Rule 5210
CS-07,Regulatory Change - Margin Requirements,RU,Medium,MEDIUM,"A new margin requirement increases initial margin for uncleared swaps by 25%, effective in 120 days.",SEC Swap Margin Rule; Basel III; EMIR Margin RTS
CS-08,Misleading Performance Claims,CS,Low-Medium,CRITICAL,Marketing claims guaranteed 12% returns and zero capital loss for a product with substantial stress loss potential.,SEC Rule 206(4)-1; FINRA Rule 2210; FCA COBS 4
CS-09,Sanctions - Indirect Counterparty Exposure,TM + RU,High,CRITICAL,Wire transfer routes through intermediaries to a beneficiary linked to an OFAC SDN entity added 48 hours earlier.,OFAC Regulations; 31 CFR Part 501; EU Sanctions Regulation
CS-10,Front-Running - Client Order Anticipation,TM,Medium,CRITICAL,Trader repeatedly executes personal trades 10–30 minutes before large client orders; 89% are profitable.,SEC Section 17(j); Investment Company Act Section 17(j); FINRA Rule 5270
CS-11,Data Privacy - Cross-Border Transfer,CS + RU,Medium,HIGH,"EU customer data is transferred to a non-adequate jurisdiction without safeguards, consent, or SCCs.",GDPR Articles 44–49; Schrems II
CS-12,Concentration Risk - Portfolio Limit Breach,TM,Low,MEDIUM,Portfolio reaches 28% sector concentration against a 25% limit for five trading days.,Investment Company Act Section 13; SEC Form N-PORT; UCITS limits
CS-13,Off-Channel Communication,CS,Medium,HIGH,"Representatives use personal WhatsApp accounts for trade confirmations, recommendations and client discussions.",SEC Rule 17a-4; FINRA Rule 3110
CS-14,Late Trading - Mutual Fund NAV,TM,Medium,CRITICAL,Orders entered after the 4 PM cut-off receive same-day pricing.,SEC Rule 22c-1; Investment Company Act Section 22(c)
CS-15,Best Execution Failure,TM,Medium,HIGH,78% of marketable orders route to one venue despite other venues repeatedly offering better prices.,SEC Rule 606; FINRA Rule 5310; MiFID II Best Execution
CS-16,Conflict of Interest - Research Independence,CS + TM,High,CRITICAL,Analyst changes rating from sell to buy before an investment-banking secondary offering; meetings occurred with IB team.,SEC Regulation AC; FINRA Rule 2241; Global Research Settlement
CS-17,Elder Financial Exploitation,TM + CS,High,CRITICAL,84-year-old client has 47 trades in one month after a new POA; account declines 22%; POA holder directs trades.,FINRA Rules 2165 and 4512; SEC Senior Safe Act
CS-18,FALSE POSITIVE - Legitimate Block Trade,TM,Medium,NO ALERT,"A $450M block trade is documented, pre-arranged and part of a disclosed portfolio rebalancing program.",Scenario requires verification and suppression of a false positive
CS-19,Multi-Jurisdiction Regulatory Conflict,RU,High,HIGH,EU reporting requires OTC derivative reporting within one business day while Singapore rules restrict cross-border sharing of client position data.,EMIR reporting; MAS Securities and Futures Act; GDPR
CS-20,Coordinated AML - Trade Finance,ALL FOUR,Very High,CRITICAL,Trade finance goods are priced 300% above market; beneficiary is high-risk; relationship manager overrides screening twice; five intermediary banks; new enhanced-DD rule applies.,BSA/AML; OFAC; trade-based money laundering red flags; FATF Recommendations
